TPLNR,FLTYP,Segment 1,Delimiter,Description
,,,,"Empty row"
D,4,D,,"Upper case letter"
D0,4,D0,,"Upper case letter and digit"
D01,4,D01,,"Upper case letter and 2 digits"
D014,4,D014,,"D014 tag name"
D015,4,D015,,"D015 tag name"
D014-,4,D014,-,"D014 plus delimiter"
D014 ,4,D014," ","D014 plus delimiter"
D015-,4,D015,-,"D015 plus delimiter"
D015 ,4,D015," ","D015 plus delimiter"
D015-0,4,D015,-,"D015 plus delimiter plus digit"
D015-01,4,D015,-,"D014 plus delimiter plus digit"
D015-012,4,D015,-,"D015 plus delimiter plus 3 digits"
D015-0123,4,D015,-,"D015 plus delimiter plus 4 digits"
D015-01234,4,D015,-,"D015 plus delimiter plus 5 digits"
D015-012345,4,D015,-,"D015 plus delimiter plus 6 digits"
D015-A,4,D015,-,"D015 plus delimiter plus upper letter"
D015-a,4,D015,-,"D015 plus delimiter plus lower letter"
D015-Aa,4,D015,-,"D015 plus delimiter plus insensitive letters"
D015-AaA,2,D015,-,"D015 plus delimiter plus insensitive letters"
D015-A1,4,D015,-,"D015 plus delimiter plus insensitive letter and digit"
D014-ABC,4,D014,-,"D014 plus delimiter plus upper letters"
D014-AB1C,2,D014,-,"D014 plus delimiter plus insensitive letter and digit"
D014-$%#,2,D014,-,"D014 plus delimiter plus only symbols"
D015-$%#,4,D014,-,"D015 plus delimiter plus only symbols"
D015-$%#1,4,D014,-,"D015 plus delimiter plus symbols and digit"
D014-PIP,4,D014,-,"D014 plus delimiter upper case 'PIP' starting segment 3"
D014-pip,4,D014,-,"D014 plus delimiter lower case 'pip' starting segment 3"
D014-pip ,4,D014," ","D014 plus delimiter lower case 'pip' starting segment 3 plus delimiter"
D014-Pip,4,D014,-,"D014 plus delimiter mixed letter case 'Pip' starting segment 3"
D014-PIp,4,D014,-,"D014 plus delimiter mixed letter case 'Pip' starting segment 3"
D014-pip-,4,D014,-,"D014 plus delimiter lower case 'pip' starting segment 3 plus delimiter"
D014-PIP0,4,D014,-,"D014 plus delimiter upper case 'PIP' and a digit"
D015-PIP01,4,D015,-,"D015 plus delimiter upper case 'PIP' and two digits"
D015-PIP012,4,D015,-,"D015 plus delimiter upper case 'PIP' and three digits"
D015-PIP0124,4,D015,-,"D015 plus delimiter upper case 'PIP' and four digits"
D015-PIP-12345,4,D015,-,"D015 plus delimiter upper case 'PIP' and five digits"
D014-PIP ,4,D014," ","D014 plus delimiter upper case 'PIP' and delimiter"
D014-pip ,4,D014," ","D014 plus delimiter lower case 'pip' and delimiter"
D014-PIP-,4,D014,-,"D014 plus delimiter upper case 'PIP' and delimiter"
D015-PIP--,4,D015,-,"D015 plus delimiter upper case 'PIP' and double delimiter"
D015-PIP--A,4,D015,-,"D015 plus delimiter upper case 'PIP', double delimiter and upper letter"
